Formula,Luminosity (photons/MeV)
AgGd0.85Ce0.15(PO)3,1
Al1.996Ti0.004O3,0.2875
Ba1.96Eu0.04B5O9Cl,1.375
Ba1.86Ce0.14Ca(BO3)2,0.6375
Ba2Gd0.9Ce0.1Cl7,3.75
Ba1.96Eu0.04MgSi2O7,1.25
Ba1.94Eu0.06P2O7,0.3125
Ba1.996Eu0.004Si3O8,4.375
Ba1.996Eu0.004SiO4,5
Ba2Y0.98Ce0.02Cl7,1.875
Ba1.98Eu0.02ZnSi2O7,2
Ba2.955Eu0.045(PO4)2,3.375
Ba2.94Eu0.06B(PO4)3,2.25
Ba3Gd0.96Ce0.04(BO3)3,0.04625
Ba2.925Eu0.075P4O13,3.125
Ba3Ce2(PO4)3F,0.05
Ba4.95Eu0.05Si8O21,2.5
Ba0.95Eu0.05Al12O19,0.625
Ba0.95Eu0.05Br1.7I0.3,14
BaBr2,2.4125
Ba0.999Ce0.001Br2,1.7
Ba0.95Eu0.05Br2,7.25
Ba0.999Eu0.001Br2,1.9625
Ba0.95Eu0.05Br2,6.125
Ba0.95Eu0.05BrCl,7.4375
Ba0.92Eu0.08BrI,12.125
Ba0.95Eu0.05BrI,11.125
BaCl2,0.75
Ba0.999Ce0.001Cl2,0.3875
Ba0.999Eu0.001Cl2,2.425
Ba0.95Eu0.05Cl2,6.5
Ba0.95Eu0.05ClBr,6.5
Ba0.95Eu0.05ClI,6.75
BaF2,1.25
Ba0.998Ce0.002F2,1.625
Ba0.95Eu0.05FI,6.875
BaGd0.95Ce0.05Cl5,4.375
BaI2,0.575
Ba0.999Ce0.001I2,0.575
Ba0.999Eu0.001I2,0.475
Ba0.95Eu0.05I2,4.75
Ba0.98Eu0.02KPO4,4.375
BaLu2F8,0.05
BaMgF4,0.125
Ba0.99Eu0.01P2O6,0.2375
Ba0.98Eu0.02Si2O5;Eu,3.75
Ba0.999Eu0.001SiO3:Eu,1
BaY1.802Ce0.198F8:Ce,0.1225
Bi4Ge3O12,1.325
Bi4Ge3O12,0.25
Bi396Ce0.004Si3O12:Ce (BSO),0.15
BiBaO2Br,0.275
BiBaO2Cl,0.825
BiSrO2Cl,0.25
Ca3Ga3Si2TaO14,0.15
Ca4.925Ce0.075(PO4)3F,0.4
Ca0.995Ce0.005BPO5,0.16375
Ca0.95Eu0.05Br2,4.5
Ca0.99Ce0.01HfO3,1.25
CaI2,10.75
CaWO4,1.975
CdF2,0.1375
CdWO4,3.375
CeBr3,8.5
Ce0.981Ca0.019Br3,7.25
CeCl3,5.75
CeP5O14,0.5
Cs2Ba0.995Eu0.05Cl4,3.75
Cs2Ba0.93Eu0.07I4,2.125
Cs2HfCl6,6.75
Cs2LiCeBr6,3.5
Cs2LiGd0.99Ce0.01Br6,3.125
Cs2LiGd0.9Ce0.1Br6,3.8125
Cs2LiLa0.9Ce0.3Br6,6.25
Cs2LiLu0.995Ce0.005Cl6,0.875
Cs2LiLu0.995Ce0.005I6,1.375
Cs2LiY0.99Ce0.01Br6,3
Cs2LiYCl6,2.8025
Cs2LiY0.995Ce0.005Cl6,2.625
Cs2LiY0.999Ce0.001Cl6,2.7
Cs2LiY0.998Pr0.002Cl6,1.25
Cs2NaCeBr6,3.125
Cs2NaGd0.9Ce0.1Br6:,4.6
Cs2NaGd0.96Ce0.04Br6:,6
Cs2NaGd0.9Ce0.1Cl6:,2.625
Cs2NaGd0.98Ce0.02Cl6:,3.375
Cs2NaLa0.995Ce0.005Br6,2.125
Cs2NaLa0.96Ce0.04Br6,5.75
Cs2NaY0.997Ce0.003Br6,1.1875
Cs2ZnCl4,0.07875
Cs2ZrCl6,3.1375
Cs3CeCl6,2.375
Cs3Gd1.98Ce0.02I:,0.325
Cs3Gd0.96Ce0.04Br6,5.875
Cs3Gd0.92Ce0.08Br6,3.0625
Cs3LaBr6,0.2625
Cs3La0.995Ce0.005Br6,1.3
Cs3La0.9Ce0.1Br6,4.375
Cs3La0.9Ce0.1Br6,4.0625
Cs3La0.8Ce0.2Cl6,2.5
Cs3La0.92Ce0.08Cl6,2
Cs3Lu2I9,0.825
Cs3Lu1.98Ce0.02I9:,2.85
Cs3LuI6,0.175
Cs3Lu0.995Ce0.005I6,0.1875
CsBa1.96Eu0.04Br5,11.5
CsBa1.86Eu0.14I5,12.125
CsBa1.92Eu0.08I5,12.75
CsBa1.94Eu0.06I5,10
CsBa1.9Eu0.1I5,10
CsBa1.996In0.004I5,4.375
CsBa1.98Na0.02I5,4.1875
CsBa1.984Ti0.016I5,5
CsBa1.98Yb0.02I5,6.75
CsCa0.92Eu0.08Br3,3.5
CsCaCl3,0.175
CsCe2Cl7,3.25
CsCl,0.1125
CsF,0.25
CsGd0.99Ce0.01(PO3)4,3.05
CsGd1.6Ce0.4F7,0.9125
CsGd1.8Ce0.2F7,0.75
CsLu0.995Ce0.005P2O7,1
CsSr0.97Eu0.03Br3,5
CsSr0.95Eu0.05Br3,3.9125
CsSr0.995Ce0.005Cl3,1.075
CsSr0.95Eu0.05Cl3,4.175
CsSr0.92Eu0.08I3,8.125
CsY1.9Ce0.1F7,0.175
CsY0.995Ce0.005P2O7,1
