"Atomic environment number (Villars, Daams)",Charge nuclear effective (Clementi),Compression modulus,Density,Energy cohesive (Brewer),Enthalpy of melting,Entropy of solid,Magnetic frequency of nuclei,Melting temperature,Mendeleev chemists sequence,Moment nuclear magnetic,Nuclear charge effective (Slater),Oxidation state first,Radii covalent(pm),Radii metal (Waber) (A),Spectral lines no,Spin nuclei,Thermal neutron capture cross section,Valence electron number,"Volume of atom (Villars, Daams)",Luminosity (photons/MeV)
4.5,187.123375,0.289175,3738.9175,3.150875,4.309,105.9885533,21.45518125,482.2375,80.025,-0.333,4.3875,0.875,102.95,1.21799375,140.38125,1.4125,5214.2798,5.875,1.993275,1
5.4,4.2986,0.2956632,2280.6464,2.917168,4.46964,134.4567711,18.5406648,407,91.7848,0.3175184,4.12972,-0.0008,89.6056,1.106824,161.9616,2.5,0.0995736,4.8008,1.7056832,0.2875
2.505882353,4.320658824,0.542750588,2293.174118,3.379317647,8.474764706,131.1305769,18.52967765,913.64,88.53411765,-0.052376471,3.867647059,0,89.91058824,1.075837647,147.3505882,2.031764706,1141.592541,4.708235294,171.6533859,1.375
4.338181818,4.686436364,0.363912727,2369.858182,3.0108,6.747090909,128.6373757,15.85716909,781.2018182,75.85272727,-0.503903636,3.731818182,0.012727273,103.3981818,1.244189091,164.7636364,2.252727273,697.9044364,4.376363636,2.620914545,0.6375
4.7,6.6478,0.07146,2933.236,1.7758,7.5275,175.7982881,9.53353,473.36,77.18,0.7319,5.125,0,125.04,1.26563,182.77,1.52,4435.116,5.6,2021.79248,3.75
4.55,4.851766667,0.217896667,2304.163333,2.7307,10.73983333,136.4199007,13.62687667,556.0733333,77.92333333,-0.783366667,4.058333333,0,102.29,134.6113533,183.6633333,2.003333333,44.05255,4.67,2.58488,1.25
3.672727273,93.12198182,0.08124,2266.085455,2.623418182,2.166636364,149.8830093,18.08257091,274.62,84.42,-0.826509091,4.286363636,-0.363636364,97.92909091,1.204487273,175.54,1.96,25.35469091,5.096363636,2.587167273,0.3125
3.689230769,4.894778462,0.250628923,2321.661231,2.960756923,13.15069231,140.6365447,14.640904,575.7990769,85.70061538,-0.893433846,4.196153846,0,98.07292308,1.197017231,188.7073846,1.884923077,41.07824615,4.923384615,2.498927385,4.375
5.137142857,5.321731429,0.176882286,2503.370857,2.689977143,9.711857143,138.5089144,13.76767886,557.0554286,74.58685714,-0.736091429,4.007142857,0,110.9925714,1.337603429,195.8851429,1.929142857,27.42942857,4.572,3.076865143,5
4.7,6.43508,0.070946,2575.72,1.7969,7.1883,173.6498157,9.583026,498.052,75.806,0.774646,5.1397,-8.88E-17,125.106,1.266228,172.77,1.406,25.23664,5.6,2021.79192,1.875
4.566666667,5.07255,0.238156667,2750.998333,2.717433333,10.60191667,137.1560795,13.61523,536.8283333,78.295,-0.782766667,4.183333333,0,101.2283333,1.22826,184.9983333,2.001666667,36.47446667,5.501666667,2.52044,2
4.273076923,79.72029615,0.07746,2345.861923,2.566015385,2.465442308,147.5930284,17.18253538,313.2588462,80.09346154,-0.774034615,4.196153846,-0.307692308,103.1857692,1.260693846,180.4003846,1.965,16.24799231,4.926538462,2.808933077,3.375
3.336842105,81.34693684,0.165033684,2246.365263,2.787242105,3.155947368,146.6597564,18.44059368,378.0957895,86.19052632,-0.726663158,4.218421053,-0.315789474,94.90631579,1.168545263,169.2073684,1.976842105,216.7050316,5.055789474,2.427675789,2.25
4.125,4.898325,0.3828275,2732.249,3.159825,7.0895,132.8248707,15.981545,798.2775,79.2825,-0.40625,3.759375,0,100.8225,1.217345,168.505,2.0675,3659.684325,4.5,2.512795,0.04625
3.3125,101.8314875,0.083565,2209.28375,2.66085,1.9671625,151.3526563,18.62653,249.21375,87.15125,-0.8623875,4.345,-0.4,94.55125,1.169285,172.23375,1.95375,17.477945,5.20375,2.4474775,3.125
4.19047619,74.75428571,0.087714286,2773.238095,2.698571429,2.59847619,148.6897238,20.6317619,323.8571429,81.0952381,-0.646809524,4.211904762,-0.19047619,100.1904762,1.210904762,167.8095238,2.071428571,0.270628571,5.047619048,90.82771429,0.05
3.602941176,4.873426471,0.254476471,2314.248529,2.974647059,13.32975,140.7534435,14.70195294,576.8779412,86.30441176,-0.900838235,4.205882353,0,97.39264706,1.189258824,188.3955882,1.883823529,47.19099412,4.942647059,2.467432353,2.5
5.515625,4.406140625,0.28056875,2314.139063,2.8743125,4.447609375,134.5016069,18.1895125,413.8703125,89.6359375,0.270671875,4.103125,0,92.2296875,1.1348375,164.5453125,2.4703125,7.31513125,4.7515625,1.847771875,0.625
5.166666667,8.8135,0.052233333,3476.736667,2,10.17083333,119.36092,21.23656667,523.7166667,70.35,1.789,6.016666667,1.85E-17,143.6833333,1.542266667,145.45,1.616666667,81.55166667,5.35,4.358166667,14
5.333333333,8.546666667,0.051,3266.533333,1.446666667,9.646666667,122.8128,21.70833333,510,70,1.709666667,6.016666667,0,142,1.527666667,136.3333333,1.5,4.966666667,5.333333333,4.284333333,2.4125
5.332666667,8.54774,0.051045333,3268.082,1.447473333,9.647033333,122.814391,21.70824967,510.0243333,70.00566667,1.709409667,6.016666667,0.000333333,141.989,1.527490667,136.3033333,1.500666667,4.966433333,5.333666667,4.283393,1.7
5.166666667,8.5555,0.051733333,3294.016667,1.446,9.675833333,122.91747,21.93646667,511.6166667,70.45,1.7195,6.016666667,0,141.7833333,1.520266667,137.15,1.516666667,81.61166667,5.35,4.259566667,7.25
5.33,8.546843333,0.051014667,3267.083,1.446653333,9.64725,122.8148934,21.712896,510.0323333,70.009,1.709863333,6.016666667,0,141.9956667,1.527518667,136.3496667,1.500333333,6.499566667,5.333666667,4.283838,1.9625
5.166666667,8.5555,0.051733333,3294.016667,1.446,9.675833333,122.91747,21.93646667,511.6166667,70.45,1.7195,6.016666667,0,141.7833333,1.520266667,137.15,1.516666667,81.61166667,5.35,4.259566667,6.125
5.166666667,7.5855,0.050066667,2936.416667,1.506,8.2875,146.6984933,16.20046667,480.2833333,71.11666667,1.2935,5.516666667,0,136.7833333,1.433933333,162.4833333,1.516666667,91.17833333,5.35,965.1672333,7.4375
5.066666667,9.4208,0.05384,3919.573333,3.292266667,11.34333333,111.1251053,19.74034667,552.92,70.38666667,1.957066667,6.016666667,0,147.9866667,1.58916,165.3066667,1.86,127.3986667,5.36,4.573373333,12.125
5.166666667,9.4155,0.0534,3903.083333,3.292666667,11.32583333,111.0623033,19.60346667,551.95,70.11666667,1.951166667,6.016666667,0,148.1166667,1.5936,164.8166667,1.85,81.41166667,5.35,4.588233333,11.125
5.333333333,6.606666667,0.047666667,2551.333333,1.566666667,6.87,170.3748467,10.23633333,447.3333333,71.33333333,0.857666667,5.016666667,0,132,1.355,187,1.5,24.1,5.333333333,1926.099667,0.75
5.332666667,6.60774,0.047712,2552.882,1.567473333,6.870366667,170.3764377,10.23624967,447.3576667,71.339,0.857409667,5.016666667,0.000333333,131.989,1.354824,186.97,1.500666667,24.09976667,5.333666667,1926.098726,0.3875
5.33,6.606843333,0.047681333,2551.883,1.566653333,6.870583333,170.3769401,10.240896,447.3656667,71.34233333,0.857863333,5.016666667,0,131.9956667,1.354852,187.0163333,1.500333333,25.6329,5.333666667,1926.099171,2.425
5.166666667,6.6155,0.0484,2578.816667,1.566,6.899166667,170.4795167,10.46446667,448.95,71.78333333,0.8675,5.016666667,0,131.7833333,1.3476,187.8166667,1.516666667,100.745,5.35,1926.0749,6.5
5.166666667,7.5855,0.050066667,2936.416667,1.506,8.2875,146.6984933,16.20046667,480.2833333,71.11666667,1.2935,5.516666667,0,136.7833333,1.433933333,162.4833333,1.516666667,91.17833333,5.35,965.1672333,6.5
5.166666667,8.4455,0.051733333,3545.483333,3.352666667,9.9375,134.8433267,13.86746667,520.6166667,70.78333333,1.525166667,5.516666667,0,143.1166667,1.507266667,190.15,1.85,90.97833333,5.35,965.4959,6.75
5.333333333,5.926666667,0.041666667,2208.666667,1.193333333,2.94,156.86544,66.42233333,368.6666667,72.66666667,2.061666667,4.416666667,0,104.6666667,1.247666667,126.3333333,0.833333333,0.439733333,5.333333333,1238.766333,1.25
5.332,5.928813333,0.041757333,2211.764,1.194946667,2.940733333,156.868622,66.422166,368.7153333,72.678,2.061152667,4.416666667,0.000666667,104.6446667,1.247314667,126.2733333,0.834666667,0.439266667,5.334,1238.764453,1.625
5.166666667,8.1055,0.048733333,3374.15,3.166,7.9725,128.0886233,41.96046667,481.2833333,71.45,2.127166667,5.216666667,0,129.45,1.4536,159.8166667,1.516666667,79.1482,5.35,621.8292333,6.875
4.428571429,6.647,0.082685714,3094.482857,1.864142857,7.856428571,178.0966022,9.182021429,488.1857143,79.77142857,0.674428571,5.171428571,0,122.0285714,1.22795,181.4785714,1.514285714,6675.547143,5.714285714,2062.802486,4.375
5.333333333,10.26666667,0.054333333,4484.666667,5.14,12.94666667,99.10246667,17.04233333,590.6666667,69.33333333,2.173,6.016666667,0,154.6666667,1.674333333,191.6666667,2.166666667,4.566666667,5.333333333,4.941666667,0.575
5.332666667,10.26774,0.054378667,4486.215333,5.140806667,12.94703333,99.10405765,17.04224967,590.691,69.339,2.172743,6.016666667,0.000333333,154.6556667,1.674157333,191.6366667,2.167333333,4.566433333,5.333666667,4.940726333,0.575
5.33,10.26684333,0.054348,4485.216333,5.139986667,12.94725,99.10456007,17.046896,590.699,69.34233333,2.173196667,6.016666667,0,154.6623333,1.674185333,191.683,2.167,6.099566667,5.333666667,4.941171333,0.475
